UMAP1	UMAP2	SeuratCluster	orig_ident	timepoint
batch1.U2hESC_1	-12.0576972961426	4.53817272186279	4	batch1.U2hESC	U2hESC
batch1.U2hESC_2	-0.946664869785309	7.55096054077148	7	batch1.U2hESC	U2hESC
batch1.U2hESC_3	-5.12421846389771	10.2876119613647	7	batch1.U2hESC	U2hESC
batch1.U2hESC_4	-12.2360668182373	4.67999458312988	4	batch1.U2hESC	U2hESC
batch1.U2hESC_5	-10.3212604522705	3.33570599555969	4	batch1.U2hESC	U2hESC
batch1.U2hESC_6	-9.89925193786621	4.81077289581299	4	batch1.U2hESC	U2hESC
batch1.U2hESC_7	-9.7913236618042	4.998375415802	4	batch1.U2hESC	U2hESC
batch1.U2hESC_8	-11.115912437439	4.40345287322998	4	batch1.U2hESC	U2hESC
batch1.U2hESC_9	-2.94405055046082	9.5764331817627	7	batch1.U2hESC	U2hESC
batch1.U2hESC_10	-11.7535591125488	3.26337718963623	4	batch1.U2hESC	U2hESC
batch1.U2hESC_11	-4.72203683853149	9.18340492248535	7	batch1.U2hESC	U2hESC
batch1.U2hESC_12	-12.9283437728882	2.04572629928589	4	batch1.U2hESC	U2hESC
batch1.U2hESC_13	-0.967985093593597	11.0882625579834	7	batch1.U2hESC	U2hESC
batch1.U2hESC_14	0.265714675188065	11.7208805084229	1	batch1.U2hESC	U2hESC
batch1.U2hESC_15	-9.8431224822998	5.21664619445801	4	batch1.U2hESC	U2hESC
batch1.U2hESC_16	-12.0609016418457	4.08452653884888	4	batch1.U2hESC	U2hESC
batch1.U2hESC_17	-4.88770437240601	9.95160388946533	7	batch1.U2hESC	U2hESC
batch1.U2hESC_18	-0.912905514240265	6.92232084274292	7	batch1.U2hESC	U2hESC
batch1.U2hESC_19	-12.1059904098511	4.83259296417236	4	batch1.U2hESC	U2hESC
batch1.U2hESC_20	-10.1016044616699	3.07209277153015	4	batch1.U2hESC	U2hESC
batch1.U2hESC_21	-11.2968635559082	2.56571173667908	4	batch1.U2hESC	U2hESC
batch1.U2hESC_22	-11.9169406890869	2.9542670249939	4	batch1.U2hESC	U2hESC
batch1.U2hESC_24	-3.5386438369751	8.11405563354492	7	batch1.U2hESC	U2hESC
batch1.U2hESC_25	-1.63751447200775	10.2764797210693	7	batch1.U2hESC	U2hESC
batch1.U2hESC_26	-8.04161834716797	0.538858294487	17	batch1.U2hESC	U2hESC
batch1.U2hESC_27	6.86782598495483	6.632568359375	12	batch1.U2hESC	U2hESC
batch1.U2hESC_28	-2.61904001235962	9.22134971618652	7	batch1.U2hESC	U2hESC
batch1.U2hESC_29	-9.62750434875488	2.94533228874207	4	batch1.U2hESC	U2hESC
batch1.U2hESC_30	-9.26999855041504	5.00198554992676	4	batch1.U2hESC	U2hESC
batch1.U2hESC_31	-0.640975534915924	11.1530408859253	7	batch1.U2hESC	U2hESC
batch1.U2hESC_32	-4.27192497253418	9.82742309570312	7	batch1.U2hESC	U2hESC
batch1.U2hESC_33	-9.52847862243652	3.55086040496826	4	batch1.U2hESC	U2hESC
batch1.U2hESC_34	-11.1779222488403	4.12012720108032	4	batch1.U2hESC	U2hESC
batch1.U2hESC_35	-2.79418778419495	8.75140857696533	7	batch1.U2hESC	U2hESC
batch1.U2hESC_36	-1.48371064662933	9.55413436889648	7	batch1.U2hESC	U2hESC
batch1.U2hESC_37	-10.6384515762329	3.87828135490417	4	batch1.U2hESC	U2hESC
batch1.U2hESC_38	-9.49206638336182	3.41573762893677	4	batch1.U2hESC	U2hESC
batch1.U2hESC_39	-5.01629161834717	10.7408323287964	7	batch1.U2hESC	U2hESC
batch1.U2hESC_40	-4.53745222091675	9.02438449859619	7	batch1.U2hESC	U2hESC
batch1.U2hESC_41	-2.29899907112122	8.82594299316406	7	batch1.U2hESC	U2hESC
batch1.U2hESC_42	-9.87972259521484	4.25204944610596	4	batch1.U2hESC	U2hESC
batch1.U2hESC_43	-2.59243321418762	9.55983448028564	7	batch1.U2hESC	U2hESC
batch1.U2hESC_44	-10.444694519043	3.16971850395203	4	batch1.U2hESC	U2hESC
batch1.U2hESC_46	-12.7028284072876	3.13085126876831	4	batch1.U2hESC	U2hESC
batch1.U2hESC_47	-10.5907135009766	2.59243440628052	4	batch1.U2hESC	U2hESC
batch1.U2hESC_48	-2.61962246894836	8.1824893951416	7	batch1.U2hESC	U2hESC
batch1.U2hESC_49	-9.20812797546387	3.80698728561401	4	batch1.U2hESC	U2hESC
batch1.U2hESC_50	-13.1262683868408	3.08134889602661	4	batch1.U2hESC	U2hESC
batch1.U2hESC_51	-12.7971811294556	3.07293319702148	4	batch1.U2hESC	U2hESC
batch1.U2hESC_52	-9.47339248657227	4.1074390411377	4	batch1.U2hESC	U2hESC
batch1.U2hESC_53	-1.7351222038269	8.22139358520508	7	batch1.U2hESC	U2hESC
batch1.U2hESC_54	-9.69994831085205	3.29841327667236	4	batch1.U2hESC	U2hESC
batch1.U2hESC_55	-1.39348804950714	10.4204883575439	7	batch1.U2hESC	U2hESC
batch1.U2hESC_56	-11.1493330001831	4.68771886825562	4	batch1.U2hESC	U2hESC
batch1.U2hESC_57	-1.00717353820801	8.32378768920898	7	batch1.U2hESC	U2hESC
batch1.U2hESC_58	-2.34607696533203	9.02989292144775	7	batch1.U2hESC	U2hESC
batch1.U2hESC_59	-0.563817322254181	8.53462028503418	1	batch1.U2hESC	U2hESC
batch1.U2hESC_60	-9.20422077178955	4.48061180114746	4	batch1.U2hESC	U2hESC
batch1.U2hESC_61	-1.60510396957397	9.62596893310547	7	batch1.U2hESC	U2hESC
batch1.U2hESC_62	-0.828140020370483	9.5106725692749	1	batch1.U2hESC	U2hESC
batch1.U2hESC_63	-0.557576894760132	10.543511390686	7	batch1.U2hESC	U2hESC
batch1.U2hESC_64	-1.09864068031311	9.76119041442871	7	batch1.U2hESC	U2hESC
batch1.U2hESC_65	0.0320011228322983	10.9820652008057	1	batch1.U2hESC	U2hESC
batch1.U2hESC_66	-1.99699127674103	9.35045051574707	7	batch1.U2hESC	U2hESC
batch1.U2hESC_67	-8.6160774230957	3.11942601203918	4	batch1.U2hESC	U2hESC
batch1.U2hESC_68	-10.5344820022583	2.09986615180969	4	batch1.U2hESC	U2hESC
batch1.U2hESC_69	-13.4888496398926	3.47749590873718	4	batch1.U2hESC	U2hESC
batch1.U2hESC_70	-2.71444988250732	10.9882535934448	7	batch1.U2hESC	U2hESC
batch1.U2hESC_71	-5.87155151367188	9.85537147521973	7	batch1.U2hESC	U2hESC
batch1.U2hESC_72	-1.18339931964874	8.85020065307617	7	batch1.U2hESC	U2hESC
batch1.U2hESC_73	-1.4954971075058	7.41836833953857	7	batch1.U2hESC	U2hESC
batch1.U2hESC_74	-9.72917556762695	5.05732440948486	4	batch1.U2hESC	U2hESC
batch1.U2hESC_75	4.16661977767944	5.9697093963623	14	batch1.U2hESC	U2hESC
batch1.U2hESC_76	-2.01975607872009	8.67358493804932	7	batch1.U2hESC	U2hESC
batch1.U2hESC_77	-3.22400307655334	9.5337963104248	7	batch1.U2hESC	U2hESC
batch1.U2hESC_78	-4.01237392425537	10.1865205764771	7	batch1.U2hESC	U2hESC
batch1.U2hESC_79	-10.6158027648926	3.83353447914124	4	batch1.U2hESC	U2hESC
batch1.U2hESC_80	-13.1125211715698	2.39789247512817	4	batch1.U2hESC	U2hESC
batch1.U2hESC_81	-1.24121594429016	7.89693880081177	7	batch1.U2hESC	U2hESC
batch1.U2hESC_82	-4.65281867980957	10.8349466323853	7	batch1.U2hESC	U2hESC
batch1.U2hESC_83	-12.5698080062866	3.85564494132996	4	batch1.U2hESC	U2hESC
batch1.U2hESC_84	-3.44656109809875	8.07216930389404	7	batch1.U2hESC	U2hESC
batch1.U2hESC_85	-11.9639978408813	4.74544048309326	4	batch1.U2hESC	U2hESC
batch1.U2hESC_86	-0.863871276378632	7.06471252441406	7	batch1.U2hESC	U2hESC
batch1.U2hESC_87	-1.03311896324158	9.57908916473389	7	batch1.U2hESC	U2hESC
batch1.U2hESC_88	-3.98011803627014	10.0595064163208	7	batch1.U2hESC	U2hESC
batch1.U2hESC_89	-4.98005533218384	9.35041236877441	7	batch1.U2hESC	U2hESC
batch1.U2hESC_90	-11.5133295059204	1.69118499755859	4	batch1.U2hESC	U2hESC
batch1.U2hESC_91	-12.848427772522	2.895663022995	4	batch1.U2hESC	U2hESC
batch1.U2hESC_92	-11.1584033966064	2.60900211334229	4	batch1.U2hESC	U2hESC
